,x_shift,y_shift,cluster
108,-4874.419667885283,-9344.515383409966,cluster_5
109,-4864.979000509691,-9366.614753687463,cluster_5
110,-4885.823940989689,-9317.81946838053,cluster_5
111,-4878.003572267165,-9336.125930967322,cluster_5
112,-4871.267607857254,-9351.893944577834,cluster_5
113,-4891.970819047202,-9303.430429042612,cluster_5
114,-4877.7808271437925,-9336.647348231914,cluster_5
115,-4861.645438555719,-9374.418187177162,cluster_5
116,-4873.723755015841,-9346.144424617629,cluster_5
117,-4889.374939445391,-9309.507044416707,cluster_5
118,-4866.265684827949,-9363.602793616403,cluster_5
119,-4870.251823462589,-9354.2717632814,cluster_5
120,-4875.376188785174,-9342.276292813522,cluster_5
121,-4888.560931007772,-9311.412531937476,cluster_5
122,-4869.888686070163,-9355.121820526034,cluster_5
123,-4879.982663944644,-9331.493135630542,cluster_5
124,-4875.25911777138,-9342.550340778529,cluster_5
125,-4883.445958712206,-9323.386014554933,cluster_5
126,-4883.025212555344,-9324.370926398919,cluster_5
127,-4873.223537542994,-9347.315368440975,cluster_2
128,-4874.891446646335,-9343.411010899556,cluster_5
129,-4879.238545163767,-9333.23502058579,cluster_5
130,-4868.767645166073,-9357.746030981723,cluster_1
131,-4877.566037143776,-9337.15014359091,cluster_5
132,-4858.805569873181,-9381.065949147585,cluster_2
133,-4862.637843843428,-9372.095095911907,cluster_2
134,-4873.293491842181,-9347.151614555924,cluster_4
135,-4871.413189817987,-9351.55315620685,cluster_4
136,-4868.004636654522,-9359.532134331284,cluster_1
137,-4866.296966255666,-9363.529567876483,cluster_1
138,-4870.82426561227,-9352.931750915222,cluster_0
139,-4865.414899632837,-9365.59437072694,cluster_1
140,-4858.6086397970685,-9381.526936755521,cluster_5
141,-4862.880125425712,-9371.527946346594,cluster_0
142,-4860.885936242254,-9376.19608297458,cluster_5
143,-4874.634857498793,-9344.011652607933,cluster_0
144,-4881.254402340568,-9328.516162013158,cluster_5
145,-4877.361160503073,-9337.62973306949,cluster_0
146,-4930.58934682622,-9213.02949540027,cluster_5
147,-4901.396374491745,-9281.366433823527,cluster_5
148,-4879.357178597917,-9332.957315198633,cluster_3
149,-4907.4081499366785,-9267.29365207017,cluster_5
150,-4892.74657873497,-9301.61447685361,cluster_5
151,-4876.115063400404,-9340.546683765666,cluster_1
152,-4885.3101838019065,-9319.022106909548,cluster_5
153,-4921.177950483309,-9235.060346010257,cluster_5
154,-4897.592347188758,-9290.271165297465,cluster_5
155,-4901.671526875567,-9280.7223380016,cluster_5
156,-4898.2343403665955,-9288.768343051092,cluster_5
157,-4872.85086224868,-9348.187752669193,cluster_3
158,-4885.27361864739,-9319.107701164357,cluster_5
159,-4916.4602778664585,-9246.103801929206,cluster_5
160,-4917.472054905834,-9243.735363921398,cluster_5
161,-4920.162661021919,-9237.437006139617,cluster_5
162,-4888.999659195379,-9310.385526506256,cluster_5
163,-4909.141651269039,-9263.235751680688,cluster_5
164,-4908.500056192289,-9264.73764202437,cluster_5
165,-4881.533423378579,-9327.863010176654,cluster_5
166,-4904.766227714383,-9273.478047210052,cluster_5
167,-4897.965398557363,-9289.39790072841,cluster_5
168,-4902.431760673695,-9278.942729894048,cluster_5
169,-4866.922911508172,-9362.064311728984,cluster_5
170,-4887.728380584844,-9313.361423826047,cluster_5
171,-4900.25454842524,-9284.039299631873,cluster_5
172,-4886.850052143467,-9315.417476081571,cluster_5
173,-4881.9103512378115,-9326.980671248939,cluster_5
174,-4853.694443260045,-9393.030429524351,cluster_5
175,-4889.112806607715,-9310.120663180212,cluster_5
176,-4870.936385548409,-9352.669292776869,cluster_5
177,-4880.581347242643,-9330.091696160742,cluster_5
178,-4874.106848069686,-9345.247653773913,cluster_5
179,-4886.508693059246,-9316.216553148866,cluster_5
180,-4862.633656526757,-9372.10489787377,cluster_5
181,-4866.352011702413,-9363.400713669322,cluster_5
182,-4846.270726797393,-9410.408380935653,cluster_5
183,-4865.084168417008,-9366.36856934131,cluster_5
184,-4882.850771480443,-9324.77927018993,cluster_5
185,-4864.890913669487,-9366.82095348466,cluster_5
186,-4876.169927704737,-9340.418253589256,cluster_5
187,-4861.148189134628,-9375.58218317869,cluster_1
188,-4864.756853261819,-9367.134771403535,cluster_1
189,-4853.465110151879,-9393.567268401584,cluster_2
190,-4872.986470485758,-9347.870311483666,cluster_2
191,-4866.210780718493,-9363.73131697141,cluster_1
192,-4869.894702894815,-9355.107735924747,cluster_0
