,x_shift,y_shift,cluster
49,-11849.980770110325,-7148.777621406308,cluster_5
50,-11886.89530652401,-7087.31873621078,cluster_5
51,-11818.478090320878,-7201.226325050692,cluster_5
52,-11828.872322312243,-7183.921003821837,cluster_5
53,-11801.625907093108,-7229.283467166272,cluster_5
54,-11865.625275230474,-7122.731138434262,cluster_5
55,-11870.804389166678,-7114.108449386978,cluster_5
56,-11863.259023028104,-7126.670703618537,cluster_5
57,-11832.659938246503,-7177.615015030329,cluster_5
58,-11843.897434492708,-7158.905746032854,cluster_5
59,-11773.943308338696,-7275.372130984099,cluster_5
60,-11783.570277735995,-7259.344222619249,cluster_5
61,-11855.344159058275,-7139.84813352335,cluster_5
62,-11849.335597239964,-7149.851767507629,cluster_5
63,-11838.0477339383,-7168.644892443166,cluster_5
64,-11820.147863212349,-7198.446325884794,cluster_5
65,-11753.160792066257,-7309.972871119321,cluster_5
66,-11839.357130125694,-7166.464883217132,cluster_5
67,-11829.995848394792,-7182.0504490965195,cluster_5
68,-11824.916274561137,-7190.507414168118,cluster_5
69,-11809.946855937495,-7215.42994794517,cluster_5
70,-11732.31971084938,-7344.671115829875,cluster_5
71,-11808.365159162038,-7218.063309487287,cluster_5
72,-11800.337022177371,-7231.4293272464,cluster_5
73,-11836.383211256394,-7171.416150553144,cluster_5
74,-11805.542691116038,-7222.762426866503,cluster_5
75,-11824.002334163484,-7192.029030404754,cluster_5
76,-11795.130304470247,-7240.097973717305,cluster_5
77,-11823.649668541551,-7192.616182190378,cluster_5
78,-11788.082811265336,-7251.831321007464,cluster_5
79,-11796.327257287334,-7238.105171073235,cluster_5
80,-11780.94541392898,-7263.714349378026,cluster_5
81,-11805.210468145098,-7223.31554375253,cluster_5
82,-11797.945746291452,-7235.410554275679,cluster_5
83,-11781.548914963701,-7262.709582573082,cluster_5
84,-11782.433714273584,-7261.236483233632,cluster_5
85,-11762.657307215799,-7294.1621555845895,cluster_5
86,-11773.582887818939,-7275.972193872542,cluster_5
87,-11753.945354551044,-7308.66665572653,cluster_5
88,-11758.010489859282,-7301.898625880147,cluster_5
89,-11785.891723097313,-7255.479256191119,cluster_5
90,-11764.724156661943,-7290.72106502331,cluster_5
91,-11765.847414208964,-7288.850957381874,cluster_5
92,-11764.586251599185,-7290.950662689797,cluster_5
93,-11838.89154862072,-7167.240028269552,cluster_5
94,-11824.735910453534,-7190.8077017528885,cluster_5
95,-11829.321610279243,-7183.172985824966,cluster_5
96,-11820.603734496835,-7197.687347345198,cluster_5
97,-11814.07235239176,-7208.561423033579,cluster_5
98,-11818.20040676199,-7201.688639456462,cluster_5
99,-11807.543154533098,-7219.431862177594,cluster_5
100,-11892.099336457888,-7078.654564604341,cluster_5
101,-11886.19373171365,-7088.486785708754,cluster_5
102,-11858.267227347147,-7134.981527144464,cluster_5
103,-11897.947439245054,-7068.918078311238,cluster_5
104,-11881.7304251426,-7095.917729526348,cluster_5
105,-11888.373528762915,-7084.857649070033,cluster_5
106,-11879.142878650955,-7100.225726814623,cluster_5
107,-11851.556669512816,-7146.153911890576,cluster_5
108,-11873.575661046742,-7109.49456832902,cluster_5
109,-11872.758699905698,-7110.854724133603,cluster_5
110,-11863.769492358218,-7125.820824979843,cluster_5
111,-11860.123183670377,-7131.891551820947,cluster_5
112,-11846.19609427781,-7155.078715232495,cluster_5
113,-11894.087232150534,-7075.344923876744,cluster_5
114,-11460.931411584916,-7796.504565422412,cluster_5
115,-11438.02742292523,-7834.637337666398,cluster_5
116,-11416.10538844677,-7871.135257758513,cluster_5
117,-11406.296465928659,-7887.46609925078,cluster_5
118,-11402.847256019837,-7893.208677010011,cluster_5
119,-11383.213374695673,-7925.897058755395,cluster_5
120,-11722.300535903216,-7361.352005869224,cluster_5
121,-11754.85485804937,-7307.152426468384,cluster_5
