,fov,volume,min_x,min_y,max_x,max_y,anisotropy,transcript_count,perimeter_area_ratio,solidity,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,pct_counts_in_top_10_genes,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_120_genes,n_counts,clusters,cell type
3071341200034100032,,1663.657904974212,2249.68347452445,5540.356062360394,2271.501883361737,5558.767288913713,1.6849271430822057,625,0.3970618524578242,0.6994996793624674,61,4.127134385045092,272.0,5.609472,51.10294117647059,95.95588235294117,100.0,100.0,272.0,1,LPM-1
3071341200034100061,,641.2874488477353,2289.7560608951208,5571.677175400412,2302.075084259186,5580.06343123901,2.100803195634233,190,0.5189749971241725,0.977740421675572,37,3.6375861597263857,82.0,4.4188404,63.41463414634146,100.0,100.0,100.0,82.0,1,LPM-1
3071341200034100064,,1050.794771714026,2300.932253271228,5575.607318189343,2318.2328800918867,5584.910880799669,1.764492790149084,415,0.4206184434696781,0.9507975224139562,50,3.9318256327243257,165.0,5.1119876,55.757575757575765,100.0,100.0,100.0,165.0,1,LPM-1
3071341200034100071,,782.5462662343684,2340.491712140996,5581.1911359611695,2352.481474414725,5592.20668558023,2.075391511105322,160,0.4760936549105444,0.9745774216624362,32,3.4965075614664802,66.0,4.204693,60.60606060606061,100.0,100.0,100.0,66.0,1,LPM-1
3071341200034100076,,1814.120617866572,2359.2241677102897,5588.750826876211,2373.6385851912287,5607.758049748317,1.4609689194795696,682,0.3162544002703218,0.8991825668894826,82,4.418840607796597,367.0,5.908083,41.689373297002724,90.19073569482289,100.0,100.0,367.0,3,CM
3071341200034100090,,1570.0376617283837,2403.7745177924576,5616.959131428704,2419.710171136296,5633.718811925904,1.9393191599654187,524,0.3345992198838866,0.9642034911416512,70,4.2626798770413155,358.0,5.8833222,53.910614525139664,94.41340782122904,100.0,100.0,358.0,4,LPM-3
3071341200034200034,,443.0070231628857,2263.381716544039,5549.980412040496,2271.407409416384,5557.514102865434,1.7220912791681444,164,0.5884017659783384,0.9885041950433864,30,3.4339872044851463,57.0,4.060443,61.40350877192983,100.0,100.0,100.0,57.0,1,LPM-1
3071341200034200051,,3632.993830609705,2311.948018404212,5577.034172937408,2344.8171967287003,5593.712127329249,2.111961802666116,1237,0.2470681450495418,0.9047935841596616,92,4.532599493153255,624.0,6.437752,46.955128205128204,90.22435897435898,100.0,100.0,624.0,1,LPM-1
3071341200034200057,,1545.3211498665255,2339.9498353281733,5589.894076444484,2359.4265999733634,5603.51225440777,1.844718697818062,473,0.3595498868657838,0.8989746283870605,63,4.1588830833596715,309.0,5.7365723,45.63106796116505,95.79288025889967,100.0,100.0,309.0,4,LPM-3
3071341200034200059,,1101.098046857182,2346.161853827352,5595.746597011786,2363.3162632534136,5606.245358409677,1.680480045266067,448,0.4365765426900091,0.8834672575605539,58,4.07753744390572,304.0,5.7203116,53.61842105263158,97.36842105263158,100.0,100.0,304.0,4,LPM-3
3071341200034200060,,875.313807388767,2372.052093889556,5595.338557530748,2385.9986488688955,5603.970581866267,1.589774898405883,358,0.430061282360444,0.9688938991441391,56,4.04305126783455,163.0,5.0998664,53.987730061349694,96.31901840490798,100.0,100.0,163.0,1,LPM-1
3071341200034200061,,2743.165512322158,2376.023652319353,5598.989907875439,2398.672367342024,5617.087491912811,1.422152699228719,1187,0.255557030347928,0.9085681371109569,92,4.532599493153255,755.0,6.6280413,41.324503311258276,88.87417218543047,100.0,100.0,755.0,3,CM
3071341200034200063,,952.9923489335284,2399.641764206481,5604.048168312755,2411.202088100464,5619.076907722065,1.5495848454756629,294,0.4736537286781391,0.8037197992563136,56,4.04305126783455,180.0,5.198497,46.666666666666664,96.66666666666667,100.0,100.0,180.0,4,LPM-3
3071341200035100018,,378.4762356395879,2611.330833285876,5540.16724493004,2617.912405249292,5549.0260046268495,1.1500193979181907,123,0.6881892031421278,0.9201489164953064,39,3.6888794541139363,81.0,4.406719,53.086419753086425,100.0,100.0,100.0,81.0,4,LPM-3
3071341200035100027,,1476.7817830563663,2606.6215125734534,5546.98370962511,2621.929305243216,5562.290252064012,1.2312850867556682,349,0.3648403251022038,0.8633011788947276,65,4.189654742026425,222.0,5.4071717,45.04504504504504,93.24324324324324,100.0,100.0,222.0,3,CM
3071341200035100032,,971.1351591461444,2619.7292050691576,5556.608335809799,2631.8799922514504,5568.421822569865,1.4515024667377303,402,0.4177699258313678,0.9442487866852388,48,3.8918202981106265,335.0,5.817111,76.11940298507463,100.0,100.0,100.0,335.0,2,CM
3071341200035100036,,761.5865121069994,2613.6484570715143,5563.629073384998,2628.45192281195,5572.712980237501,1.7170696100688043,268,0.5456405200144555,0.821343483979196,52,3.9702919135521215,163.0,5.0998664,52.14723926380368,98.77300613496932,100.0,100.0,163.0,0,LPM-2
3071341200035100037,,457.47436960980326,2618.3752332453296,5570.073372333301,2628.581122925742,5577.602320948266,1.22419720573533,205,0.7365706227335007,0.8004526229097645,49,3.912023005428146,102.0,4.634729,42.15686274509804,100.0,100.0,100.0,102.0,0,LPM-2
3071341200035100040,,926.2877268846707,2635.8626514016287,5577.195299334647,2646.7859633503203,5588.246286391792,1.0763142245115018,413,0.3978779513998479,0.9720836990625242,63,4.1588830833596715,249.0,5.521461,59.036144578313255,94.77911646586345,100.0,100.0,249.0,0,LPM-2
3071341200035200019,,492.6093706508513,2623.6062146734835,5544.98755322439,2630.76641446146,5553.632651623741,1.265010219688876,117,0.5348973253289602,0.9908851809305552,26,3.295836866004329,92.0,4.5325994,78.26086956521739,100.0,100.0,100.0,92.0,2,CM
3071341200035200035,,750.117848550557,2626.487653333142,5571.90501627667,2637.86448473294,5583.59854235272,1.192966166531895,341,0.5375601418261117,0.8031295996117365,65,4.189654742026425,227.0,5.4293456,48.458149779735685,93.3920704845815,100.0,100.0,227.0,0,LPM-2
3071341200035200039,,1682.781466443235,2636.4726212814885,5584.186493855017,2661.449426415756,5603.754590697266,3.1486395675476206,814,0.4439428002325187,0.7564463681487986,85,4.454347296253507,377.0,5.934894,35.80901856763926,89.38992042440319,100.0,100.0,377.0,0,LPM-2
3071341200035200046,,601.4180543340351,2663.119855816059,5606.565687486326,2674.8774172694,5613.798180055822,1.6551597405695628,252,0.5198019272823272,0.9912364585207488,51,3.951243718581427,116.0,4.762174,44.827586206896555,99.13793103448276,100.0,100.0,116.0,0,LPM-2
3071341200035200047,,1109.1767148896074,2672.010254750652,5609.943795858562,2687.868922372884,5621.689480148894,1.9769416160389548,462,0.4311422969015163,0.8856672549518092,65,4.189654742026425,241.0,5.488938,45.643153526970956,93.7759336099585,100.0,100.0,241.0,0,LPM-2
3071341200035300013,,481.8866155176983,2611.4138071299285,5558.96607400003,2620.1364299064626,5566.604592673773,1.1331767798948964,126,0.5547273796076057,0.9740806082500192,42,3.7612001156935624,76.0,4.3438053,42.10526315789473,100.0,100.0,100.0,76.0,4,LPM-3
3071341200043100008,,776.043146357646,1194.6735606701195,5920.071082269118,1203.7299759980774,5933.618918020744,1.0244424272837578,218,0.5053150749875358,0.8833656714055579,52,3.9702919135521215,142.0,4.962845,53.52112676056338,98.59154929577466,100.0,100.0,142.0,3,CM
3071341200043100014,,745.3523916500883,1197.1377534933388,5930.2393615011,1206.3784205237653,5940.466611174433,1.133302763252296,336,0.4491623905881737,0.9836029935601228,52,3.9702919135521215,269.0,5.598422,70.26022304832715,99.25650557620817,100.0,100.0,269.0,2,CM
